# from Pan et al. 2015MNRAS.452.4307P
56484.42 16.41 0.03 	16.17 0.03 	16.07 0.04
56485.46  15.84 0.03 	15.60 0.03 	15.46 0.03
56486.45  15.37 0.05 	15.17 0.03 	15.03 0.03
56487.38  14.96 0.02 	14.74 0.02 	14.62 0.02
56488.40  14.56 0.03 	14.34 0.03 	14.23 0.04
56489.37  14.24 0.03 	14.02 0.03 	13.91 0.04
56490.43  13.95 0.02 	13.72 0.02 	13.63 0.02
56491.40  13.74 0.02 	13.53 0.03 	13.44 0.04
56492.39  13.57 0.03 	13.35 0.03 	13.29 0.03
56493.40  13.42 0.04 	13.22 0.03 	13.17 0.04
56494.41  13.31 0.03 	13.11 0.03 	13.07 0.03
56496.32  13.15 0.03 	12.98 0.02 	12.97 0.02
56497.41  13.06 0.02 	12.93 0.02 	12.95 0.03
56498.38  13.03 0.02 	12.90 0.02 	12.96 0.02
56499.38  12.99 0.05 	12.87 0.06 	12.96 0.06
56500.45  12.96 0.03 	12.83 0.03 	12.97 0.03
56501.39  12.96 0.03 	12.84 0.03 	13.00 0.04
56502.35  12.96 0.03 	12.83 0.03 	13.02 0.03
56503.30  12.96 0.03 	12.84 0.03 	13.06 0.03
56504.35  12.98 0.03 	12.84 0.03 	13.09 0.03
56505.34  13.00 0.02 	12.88 0.02 	13.14 0.02
56506.35  13.03 0.02 	12.90 0.02 	13.19 0.02
56507.33  13.07 0.03 	12.93 0.04 	13.24 0.04
56508.33  13.09 0.02 	12.99 0.02 	13.30 0.03
56509.34  13.13 0.03 	13.05 0.03 	13.38 0.03
56510.34  13.18 0.02 	13.11 0.03 	13.43 0.03
56511.31  13.21 0.02 	13.15 0.02 	13.48 0.02
56512.31 13.30 0.02 	13.26 0.03 	13.59 0.03
56513.32 13.34 0.03 	13.33 0.02 	13.64 0.03
56514.32 13.42 0.03 	13.39 0.03 	13.69 0.04
56516.33 13.54 0.03 	13.50 0.03 	13.73 0.03
56517.32  13.60 0.03 	13.54 0.03 	13.72 0.03
56518.36  13.65 0.02 	13.56 0.02 	13.72 0.02
56519.31 13.72 0.03 	13.60 0.02 	13.72 0.02  
